ano_eleicao,sg_uf,sg_partido_norm,regra,limiar,desfecho,n,k,total,hits,expected
2018,AC,AVANTE,top_50,50.0,competitividade,9,3.0,0.0,0.0,0.0
2018,AC,AVANTE,top_50,50.0,eleicao,9,3.0,0.0,0.0,0.0
2018,AC,AVANTE,top_60,60.0,competitividade,9,4.0,0.0,0.0,0.0
2018,AC,AVANTE,top_60,60.0,eleicao,9,4.0,0.0,0.0,0.0
2018,AC,AVANTE,top_70,70.0,competitividade,9,4.0,0.0,0.0,0.0
2018,AC,AVANTE,top_70,70.0,eleicao,9,4.0,0.0,0.0,0.0
2018,AC,AVANTE,top_80,80.0,competitividade,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,top_80,80.0,eleicao,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,top_90,90.0,competitividade,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,top_90,90.0,eleicao,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,top_95,95.0,competitividade,9,6.0,0.0,0.0,0.0
2018,AC,AVANTE,top_95,95.0,eleicao,9,6.0,0.0,0.0,0.0
2018,AC,AVANTE,top_necr,,competitividade,9,6.0,0.0,0.0,0.0
2018,AC,AVANTE,acima_divisao_igual,,competitividade,9,5.0,0.0,0.0,0.0
2018,AC,AVANTE,top_necr,,eleicao,9,6.0,0.0,0.0,0.0
2018,AC,AVANTE,acima_divisao_igual,,eleicao,9,5.0,0.0,0.0,0.0
2018,AC,DC,top_50,50.0,competitividade,3,1.0,0.0,0.0,0.0
2018,AC,DC,top_50,50.0,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,DC,top_60,60.0,competitividade,3,2.0,0.0,0.0,0.0
2018,AC,DC,top_60,60.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,DC,top_70,70.0,competitividade,3,2.0,0.0,0.0,0.0
2018,AC,DC,top_70,70.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,DC,top_80,80.0,competitividade,3,3.0,0.0,0.0,0.0
2018,AC,DC,top_80,80.0,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,DC,top_90,90.0,competitividade,3,3.0,0.0,0.0,0.0
2018,AC,DC,top_90,90.0,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,DC,top_95,95.0,competitividade,3,3.0,0.0,0.0,0.0
2018,AC,DC,top_95,95.0,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,DC,top_necr,,competitividade,3,3.0,0.0,0.0,0.0
2018,AC,DC,acima_divisao_igual,,competitividade,3,1.0,0.0,0.0,0.0
2018,AC,DC,top_necr,,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,DC,acima_divisao_igual,,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,DEM,top_50,50.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_50,50.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_60,60.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_60,60.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_70,70.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_70,70.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_80,80.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_80,80.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_90,90.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_90,90.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_95,95.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_95,95.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,top_necr,,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,DEM,acima_divisao_igual,,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,DEM,top_necr,,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,DEM,acima_divisao_igual,,eleicao,1,0.0,1.0,0.0,0.0
2018,AC,MDB,top_50,50.0,competitividade,3,1.0,2.0,1.0,0.6666666666666666
2018,AC,MDB,top_50,50.0,eleicao,3,1.0,2.0,1.0,0.6666666666666666
2018,AC,MDB,top_60,60.0,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_60,60.0,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_70,70.0,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_70,70.0,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_80,80.0,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_80,80.0,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_90,90.0,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_90,90.0,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_95,95.0,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_95,95.0,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_necr,,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,acima_divisao_igual,,competitividade,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,top_necr,,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,MDB,acima_divisao_igual,,eleicao,3,2.0,2.0,2.0,1.3333333333333333
2018,AC,PATRI,top_50,50.0,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_50,50.0,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_60,60.0,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_60,60.0,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_70,70.0,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_70,70.0,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_80,80.0,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_80,80.0,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_90,90.0,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_90,90.0,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_95,95.0,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_95,95.0,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_necr,,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,acima_divisao_igual,,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,top_necr,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PATRI,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PC DO B,top_50,50.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_50,50.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_60,60.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_60,60.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_70,70.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_70,70.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_80,80.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_80,80.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_90,90.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_90,90.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_95,95.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_95,95.0,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,top_necr,,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,acima_divisao_igual,,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PC DO B,top_necr,,eleicao,1,1.0,1.0,1.0,1.0
2018,AC,PC DO B,acima_divisao_igual,,eleicao,1,0.0,1.0,0.0,0.0
2018,AC,PDT,top_50,50.0,competitividade,16,3.0,4.0,2.0,0.75
2018,AC,PDT,top_50,50.0,eleicao,16,3.0,1.0,1.0,0.1875
2018,AC,PDT,top_60,60.0,competitividade,16,3.0,4.0,2.0,0.75
2018,AC,PDT,top_60,60.0,eleicao,16,3.0,1.0,1.0,0.1875
2018,AC,PDT,top_70,70.0,competitividade,16,5.0,4.0,2.0,1.25
2018,AC,PDT,top_70,70.0,eleicao,16,5.0,1.0,1.0,0.3125
2018,AC,PDT,top_80,80.0,competitividade,16,6.0,4.0,2.0,1.5
2018,AC,PDT,top_80,80.0,eleicao,16,6.0,1.0,1.0,0.375
2018,AC,PDT,top_90,90.0,competitividade,16,9.0,4.0,2.0,2.25
2018,AC,PDT,top_90,90.0,eleicao,16,9.0,1.0,1.0,0.5625
2018,AC,PDT,top_95,95.0,competitividade,16,11.0,4.0,3.0,2.75
2018,AC,PDT,top_95,95.0,eleicao,16,11.0,1.0,1.0,0.6875
2018,AC,PDT,top_necr,,competitividade,16,7.0,4.0,2.0,1.75
2018,AC,PDT,acima_divisao_igual,,competitividade,16,6.0,4.0,2.0,1.5
2018,AC,PDT,top_necr,,eleicao,16,7.0,1.0,1.0,0.4375
2018,AC,PDT,acima_divisao_igual,,eleicao,16,6.0,1.0,1.0,0.375
2018,AC,PHS,top_50,50.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PHS,top_50,50.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PHS,top_60,60.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PHS,top_60,60.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PHS,top_70,70.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PHS,top_70,70.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PHS,top_80,80.0,competitividade,2,2.0,0.0,0.0,0.0
2018,AC,PHS,top_80,80.0,eleicao,2,2.0,0.0,0.0,0.0
2018,AC,PHS,top_90,90.0,competitividade,2,2.0,0.0,0.0,0.0
2018,AC,PHS,top_90,90.0,eleicao,2,2.0,0.0,0.0,0.0
2018,AC,PHS,top_95,95.0,competitividade,2,2.0,0.0,0.0,0.0
2018,AC,PHS,top_95,95.0,eleicao,2,2.0,0.0,0.0,0.0
2018,AC,PHS,top_necr,,competitividade,2,2.0,0.0,0.0,0.0
2018,AC,PHS,acima_divisao_igual,,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PHS,top_necr,,eleicao,2,2.0,0.0,0.0,0.0
2018,AC,PHS,acima_divisao_igual,,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PMB,top_50,50.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_60,60.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_70,70.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_80,80.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_90,90.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_95,95.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,top_necr,,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMB,acima_divisao_igual,,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PMB,top_necr,,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMB,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PMN,top_50,50.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_60,60.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_70,70.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_80,80.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_90,90.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_95,95.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,top_necr,,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PMN,acima_divisao_igual,,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PMN,top_necr,,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PMN,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PODE,top_50,50.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_50,50.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_60,60.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_60,60.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_70,70.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_70,70.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_80,80.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_80,80.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_90,90.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_90,90.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_95,95.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_95,95.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_necr,,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,acima_divisao_igual,,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PODE,top_necr,,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PODE,acima_divisao_igual,,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PP,top_50,50.0,competitividade,3,1.0,1.0,1.0,0.3333333333333333
2018,AC,PP,top_50,50.0,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,PP,top_60,60.0,competitividade,3,1.0,1.0,1.0,0.3333333333333333
2018,AC,PP,top_60,60.0,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,PP,top_70,70.0,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PP,top_70,70.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PP,top_80,80.0,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PP,top_80,80.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PP,top_90,90.0,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PP,top_90,90.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PP,top_95,95.0,competitividade,3,3.0,1.0,1.0,1.0
2018,AC,PP,top_95,95.0,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,PP,top_necr,,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PP,acima_divisao_igual,,competitividade,3,1.0,1.0,1.0,0.3333333333333333
2018,AC,PP,top_necr,,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PP,acima_divisao_igual,,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,PPL,top_50,50.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,top_60,60.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,top_70,70.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,top_80,80.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,top_90,90.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,top_95,95.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,top_necr,,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PPL,acima_divisao_igual,,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PPL,top_necr,,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPL,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PPS,top_50,50.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_60,60.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_70,70.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_80,80.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_90,90.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_95,95.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,top_necr,,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PPS,acima_divisao_igual,,competitividade,1,0.0,0.0,0.0,0.0
2018,AC,PPS,top_necr,,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PPS,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PR,top_50,50.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,top_60,60.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,top_70,70.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,top_80,80.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,top_90,90.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,top_95,95.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,top_necr,,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PR,acima_divisao_igual,,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PR,top_necr,,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PR,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PROS,top_50,50.0,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_50,50.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,top_60,60.0,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_60,60.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,top_70,70.0,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_70,70.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,top_80,80.0,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_80,80.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,top_90,90.0,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_90,90.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,top_95,95.0,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_95,95.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,top_necr,,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,acima_divisao_igual,,competitividade,2,1.0,1.0,1.0,0.5
2018,AC,PROS,top_necr,,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PROS,acima_divisao_igual,,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRP,top_50,50.0,competitividade,3,1.0,1.0,0.0,0.3333333333333333
2018,AC,PRP,top_50,50.0,eleicao,3,1.0,0.0,0.0,0.0
2018,AC,PRP,top_60,60.0,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,top_60,60.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRP,top_70,70.0,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,top_70,70.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRP,top_80,80.0,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,top_80,80.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRP,top_90,90.0,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,top_90,90.0,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRP,top_95,95.0,competitividade,3,3.0,1.0,1.0,1.0
2018,AC,PRP,top_95,95.0,eleicao,3,3.0,0.0,0.0,0.0
2018,AC,PRP,top_necr,,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,acima_divisao_igual,,competitividade,3,2.0,1.0,1.0,0.6666666666666666
2018,AC,PRP,top_necr,,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRP,acima_divisao_igual,,eleicao,3,2.0,0.0,0.0,0.0
2018,AC,PRTB,top_50,50.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_50,50.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_60,60.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_60,60.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_70,70.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_70,70.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_80,80.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_80,80.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_90,90.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_90,90.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_95,95.0,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_95,95.0,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_necr,,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,acima_divisao_igual,,competitividade,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,top_necr,,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PRTB,acima_divisao_igual,,eleicao,2,1.0,0.0,0.0,0.0
2018,AC,PSB,top_50,50.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,top_60,60.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,top_70,70.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,top_80,80.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,top_90,90.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,top_95,95.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,top_necr,,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSB,acima_divisao_igual,,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PSB,top_necr,,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSB,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PSC,top_50,50.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,top_60,60.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,top_70,70.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,top_80,80.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,top_90,90.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,top_95,95.0,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,top_necr,,competitividade,1,1.0,1.0,1.0,1.0
2018,AC,PSC,acima_divisao_igual,,competitividade,1,0.0,1.0,0.0,0.0
2018,AC,PSC,top_necr,,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSC,acima_divisao_igual,,eleicao,1,0.0,0.0,0.0,0.0
2018,AC,PSD,top_50,50.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_50,50.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_60,60.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_60,60.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_70,70.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_70,70.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_80,80.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_80,80.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_90,90.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_90,90.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_95,95.0,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_95,95.0,eleicao,1,1.0,0.0,0.0,0.0
2018,AC,PSD,top_necr,,competitividade,1,1.0,0.0,0.0,0.0
2018,AC,PSD,acima_divisao_igual,,competitividade,1,0.0,0.0,0.0,0.0
