ano,alvo,corte,cobertura,cobertura_acaso,precisao,precisao_acaso,lift
2018,competitividade,topnecr,80.85817060637204,42.761305546860015,33.94089732528042,17.949417729549094,1.890919128223612
2022,competitividade,topnecr,80.89231170254718,43.60261927894598,28.642309112251276,15.438793541760683,1.855216797528651
2018,competitividade,50,56.69260509959379,27.13501547457268,42.269658821382954,20.23170119291894,2.089278524743004
2022,competitividade,50,50.96750369276217,19.69722911426815,38.81327334083239,15.000027120764384,2.587546877638879
2018,competitividade,60,62.86154749669652,30.45510313981745,39.56292737017187,19.167409673377993,2.0640727174064435
2022,competitividade,60,59.99488694466538,25.235270574923504,35.69115857780181,15.012546730424615,2.3774219803405945
2018,competitividade,70,71.22057456075954,35.29231126251596,36.62664854525319,18.14979855096619,2.0180195632696654
2022,competitividade,70,68.9465843527882,31.92378355934607,32.22425792670874,14.92053950271128,2.159724715105182
2018,competitividade,80,78.07546170855525,40.294921936968024,32.943375647191786,17.002150496387635,1.937600520251312
2022,competitividade,80,79.67488654364145,40.86697476598342,28.683806535519945,14.712545555209134,1.9496154780206703
2018,competitividade,90,83.77904726311714,48.179494287448165,27.064081336989698,15.563960140002346,1.7388942848439872
2022,competitividade,90,88.98427317751324,55.62227416861252,23.472570793367023,14.672230513208913,1.5997956665304203
2018,competitividade,95,87.31863488800796,56.49322947903581,23.13753587854895,14.969475022631222,1.545647782809287
2022,competitividade,95,92.6588267015324,67.64633049319531,20.09933536588832,14.673683352737335,1.3697539249501962
2018,eleicao,topnecr,86.74463937621833,43.77628751331978,19.19758412424504,9.688194777537984,1.9815439888506898
2022,eleicao,topnecr,92.63007947218473,43.746367324905314,12.426577084003862,5.8686941521120355,2.1174347754230407
2018,eleicao,50,66.39840341594729,27.897105547676297,26.101441342820653,10.966448387707233,2.3801180126903154
2022,eleicao,50,70.4126055880442,19.566292276464683,20.31589801274841,5.64539254095972,3.598668802097984
2018,eleicao,60,73.01076765989046,31.0477607416896,24.226729501632477,10.302394088283807,2.3515630730126937
2022,eleicao,60,80.18318588494027,25.32861495105007,18.072923707809473,5.7089540728860655,3.1657153792223465
2018,eleicao,70,80.08354218880535,36.02987772799412,21.71398369072788,9.76920046218868,2.222698139399537
2022,eleicao,70,87.10576298295595,31.428045110720536,15.424665657665312,5.565269983361973,2.771593418428784
2018,eleicao,80,84.21052631578948,41.46451468254262,18.733738074588032,9.224326119750375,2.030905871213386
2022,eleicao,80,91.94257010046485,39.32678800847542,12.540956783179597,5.364169701767586,2.3379120125612616
2018,eleicao,90,88.30409356725146,49.45255578460761,15.0398406374502,8.422696254151296,1.7856325556127601
2022,eleicao,90,94.81481481481481,53.368124774590825,9.475939996103643,5.333693358535962,1.7766188191037438
2018,eleicao,95,89.90031120686707,57.406851901150844,12.559602300959371,8.020074897954897,1.566020574715835
2022,eleicao,95,95.87394411955815,65.46332631708994,7.8794189896400715,5.380116373064264,1.4645443412876071
